,100_percent,90_percent,80_percent,50_percent
Unnamed: 0,-0.0024506201324063456,0.06032246994112052,0.05396557913291686,0.038526192298821135
minimum_nights,0.02716394578645354,0.05105310560983949,0.04685071495070842,0.026226206464521
availability_365,0.0700913666812986,0.05809429316274087,0.0408845124820485,0.02386717596788683
number_of_reviews,-0.061077269307000095,-0.033144100751318344,-0.018724234346173988,0.019342160319938642
neighbourhood_cleansed_Acton,0.017130684783494974,-0.005557321575315305,-0.006564138930657914,0.012181809843807394
neighbourhood_cleansed_Westwood,-0.006242330196281398,0.030573647888629183,0.04893762500123393,0.02918321463583389
neighbourhood_cleansed_Whittier,0.008282775284475909,-0.005966433010994468,-0.0014456698678030609,0.02057938042198209
neighbourhood_cleansed_Agua Dulce,-0.002501505124548741,-0.010608888474630873,-0.012373827827287884,8.371094358333681e-05
neighbourhood_cleansed_Alhambra,-0.017295403844272545,-0.03757556549961759,-0.02926273164313556,-0.00881957974584177
room_type_Entire home/apt,0.19888505284862462,0.5042431223685361,0.5123583642849764,0.37954519741944365
room_type_Hotel room,,,,
room_type_Private room,-0.17170155098232315,-0.47175351150425826,-0.4875452801914005,-0.36688137708083535
room_type_Shared room,-0.0687510674188811,-0.11824663328458497,-0.1047428561721441,-0.06691310674704536
